shipment_id,origin,destination,service_level,weight_lbs,miles,ship_date,accessorials
SHP-1001,CHICAGO IL,DALLAS TX,LTL,3200,,2026-02-14,
SHP-1002,CHICAGO IL,DALLAS TX,LTL,2800,,2026-02-14,LIFTGATE
SHP-1003,CHICAGO IL,DALLAS TX,LTL,4100,,2026-02-14,
SHP-1004,CHICAGO IL,DALLAS TX,LTL,1500,,2026-02-14,
SHP-1005,CHICAGO IL,DALLAS TX,FTL,18000,925,2026-02-14,
SHP-1006,CHICAGO IL,DALLAS TX,FTL,19500,925,2026-02-14,DETENTION
SHP-1007,CHICAGO IL,DALLAS TX,FTL,12000,300,2026-02-14,
SHP-1008,CHICAGO IL,DALLAS TX,FTL,20000,925,2026-02-14,
SHP-1009,LOS ANGELES CA,PHOENIX AZ,LTL,2600,,2026-02-14,
SHP-1010,LOS ANGELES CA,PHOENIX AZ,LTL,3300,,2026-02-14,RESIDENTIAL
SHP-1011,LOS ANGELES CA,PHOENIX AZ,LTL,5000,,2026-02-14,
SHP-1012,LOS ANGELES CA,PHOENIX AZ,LTL,1800,,2026-02-14,LIFTGATE
SHP-1013,ATLANTA GA,MIAMI FL,LTL,2900,,2026-02-14,
SHP-1014,ATLANTA GA,MIAMI FL,LTL,3600,,2026-02-14,DETENTION
SHP-1015,ATLANTA GA,MIAMI FL,LTL,4700,,2026-02-14,
SHP-1016,ATLANTA GA,MIAMI FL,LTL,2200,,2026-02-14,
SHP-1017,NEW YORK NY,BOSTON MA,LTL,1900,,2026-02-14,
SHP-1018,NEW YORK NY,BOSTON MA,LTL,3100,,2026-02-14,RESIDENTIAL
SHP-1019,NEW YORK NY,BOSTON MA,LTL,2600,,2026-02-14,
SHP-1020,NEW YORK NY,BOSTON MA,LTL,5200,,2026-02-14,
SHP-1021,SEATTLE WA,PORTLAND OR,LTL,2100,,2026-02-14,
SHP-1022,SEATTLE WA,PORTLAND OR,LTL,2700,,2026-02-14,LIFTGATE;INSIDE_DELIVERY
SHP-1023,SEATTLE WA,PORTLAND OR,LTL,3400,,2026-02-14,
SHP-1024,SEATTLE WA,PORTLAND OR,LTL,1600,,2026-02-14,
